Id,Date,Transaction
0,01/24,-889.09
1,08/24,-641.94
2,03/06,-422.07
3,09/12,+991.96
4,01/07,-951.23
5,04/06,-232.92
6,08/27,+685.66
7,08/13,+862.48
8,05/19,-555.71
9,05/19,+155.23
10,03/13,+826.07
11,12/17,-368.68
12,02/20,-967.27
13,11/27,-448.84
14,08/18,-862.7
15,03/28,-610.98
16,10/24,-126.55
17,12/03,+543.41
18,03/22,+465.93
19,10/23,+160.66
20,03/28,+769.02
21,03/27,+934.22
22,06/24,+364.23
23,05/11,-306.83
24,11/20,-406.53
25,03/10,-730.39
26,01/16,-754.21
27,04/26,-583.82
28,11/02,-595.55
29,05/24,-289.54
30,06/18,-68.69
31,06/02,-897.65
32,01/28,+99.36
33,05/30,-867.08
34,04/01,+857.98
35,01/05,-529.13
36,09/21,-968.37
37,02/23,-883.39
38,02/26,+922.45
39,01/07,+112.77
40,06/11,+668.3
41,05/19,-8.4
42,04/03,+828.45
43,04/15,+296.12
44,02/15,-404.22
45,11/01,-768.29
46,04/28,+775.79
47,08/10,+983.09
48,10/26,-558.23
49,01/19,-530.03
50,12/30,-695.51
51,12/12,+687.01
52,02/14,+971.01
53,10/28,-27.52
54,01/11,+185.6
55,11/29,+734.94
56,07/13,+407.29
57,03/06,+108.41
58,10/03,-266.74
59,08/17,-323.84
60,10/21,+667.04
61,04/12,-320.65
62,01/15,+216.99
63,01/01,+951.2
64,05/20,+160.41
65,08/10,+353.97
66,05/16,-231.29
67,10/31,-971.23
68,11/20,-303.94
69,12/07,+291.84
70,09/21,-666.84
71,08/06,+979.04
72,07/02,-693.54
73,06/10,+138.29
74,01/21,-434.58
75,04/22,+896.7
76,06/08,+561.51
77,03/19,-452.52
78,03/07,-940.68
79,05/25,-925.79
80,09/07,-217.7
81,05/03,-146.28
82,06/07,+672.7
83,07/28,+414.74
84,04/09,-541.27
85,02/10,-463.31
86,06/03,-944.99
87,06/08,+388.41
88,10/25,-922.7
89,09/29,+265.31
90,01/17,+162.92
91,02/08,-317.81
92,09/19,-994.51
93,04/20,+881.41
94,05/13,+604.41
95,02/17,+722.89
96,07/04,+595.01
97,02/05,-93.68
98,01/01,+333.72
99,11/18,-753.57
