Id,Date,Transaction
0,02/01,-548.14
1,06/13,+570.82
2,05/11,+509.22
3,04/19,+995.67
4,11/06,-41.37
5,05/03,+267.99
6,08/03,+957.39
7,06/14,+630.15
8,04/13,+376.16
9,11/22,-75.71
10,01/19,-680.26
11,01/27,+696.5
12,10/05,-998.55
13,06/24,+762.4
14,06/29,+917.65
15,01/28,-893.47
16,04/15,+465.0
17,12/05,-553.11
18,12/11,-705.13
19,02/28,-204.35
20,01/13,-231.97
21,11/07,-418.96
22,07/12,-193.48
23,07/31,+662.77
24,11/03,+879.67
25,08/25,-395.41
26,02/14,-106.58
27,08/15,-743.8
28,09/29,+751.74
29,03/06,+939.51
30,08/30,+69.04
31,07/02,+147.77
32,06/11,-815.23
33,11/22,-852.75
34,06/03,-12.49
35,01/10,-31.93
36,08/20,-340.98
37,09/07,+388.91
38,10/10,-56.62
39,03/15,+450.11
40,08/17,-165.12
41,02/15,-562.46
42,03/09,-487.75
43,12/04,-592.49
44,10/27,-376.27
45,03/13,+44.64
46,06/15,+251.92
47,05/26,+397.82
48,05/13,-973.73
49,02/17,-276.44
50,08/23,-42.93
51,11/28,-476.11
52,04/22,+308.16
53,08/22,+597.29
54,06/06,-650.91
55,09/11,-870.51
56,10/18,+438.14
57,07/14,+26.76
58,02/05,-285.92
59,11/20,-933.54
60,06/24,-460.96
61,01/04,-39.17
62,12/04,+879.79
63,09/07,-220.63
64,08/24,-255.78
65,10/30,-686.32
66,08/17,-487.89
67,06/30,-500.04
68,10/16,+716.22
69,06/12,-807.21
70,10/30,-844.17
71,06/21,+903.96
72,12/20,-226.56
73,03/26,-497.42
74,06/18,-977.59
75,12/27,+888.98
76,02/16,-813.91
77,10/14,-248.48
78,12/03,-60.5
79,03/18,-663.89
80,03/19,+232.61
81,09/22,+824.41
82,06/27,-186.15
83,12/22,-6.27
84,06/03,-52.73
85,06/29,-757.07
86,07/23,-905.43
87,09/05,-826.94
88,02/24,+763.93
89,06/22,+283.47
90,05/03,+726.22
91,02/25,-68.38
92,02/28,-728.71
93,05/06,+73.17
94,08/07,+208.76
95,03/14,+344.3
96,07/30,+622.03
97,09/16,+730.92
98,08/11,-179.18
99,03/03,+713.78
